Restaurant_id,Name,Phone,Address_line_1,Address_line_2,User_Name,User_Password
1,Dav Gravet,550-181-0163,002 Fallview Plaza,"Boulder, CO, 80303",dgravet0,uoGEvkASDbI
1,Wait Baldocci,964-250-6177,78304 Debs Point,"Boulder, CO,  80720",wbaldocci1,L6LE0VqXxZg
1,Conrado O'Grady,801-842-6911,88 Reinke Parkway,"Boulder, CO, 80970",cogrady2,EGX8TAfPxj
1,Yolande Lashbrook,147-566-6305,1134 Lillian Court,"Boulder, CO, 80303",ylashbrook3,9LS7FYPkQ0
1,Rona MacGorman,953-936-5271,34 Portage Hill,"Boulder, CO,  80720",rmacgorman4,x4R7ERTRM
1,Boyce Coogan,215-600-5427,738 Grayhawk Trail,"Boulder, CO, 80970",bcoogan5,62XpceSlj
1,Franklin Lipgens,687-711-5836,49192 Dottie Crossing,"Boulder, CO, 80303",flipgens6,JW6NA0L
1,Dean Ranscome,940-824-9744,90 Tomscot Parkway,"Boulder, CO,  80720",dranscome7,ws7UXc
1,Mohandas Bockmaster,618-612-1511,67116 Beilfuss Junction,"Boulder, CO, 80970",mbockmaster8,Z9OK4H
1,Carmina Gobel,103-679-6111,96 Corscot Circle,"Boulder, CO,  80720",cgobel9,hk9UX5W
